Sentence	Request
I just had to share this with you.	0
I hope you haven't seen it already.	0
Thought you'd enjoy this.	0
This is a handy guide that should be as common as a driver's license in the wallet of every husband, boyfriend, or significant other.	0
Look at you	0
jane.m.tholt@enron.com has just sent you an Egreetings.com card	0
If you need further help, visit our Help pages at http://egreetings.custhelp.com/.	0
Your Friends at Egreetings.com	0
Call me.	1
Study hard.	0
I love you	0
- Nora	0
Sunday returning Wednesday.	0
I would like to ask all of you if you have any objections to being named in the will as executors OR executing an Advanced Health Care Directive.	0
An AHCD is document inwhich Diane and I will state what our wishes are regarding life support.	0
I have attached a sample copy for review.	0
If anyone objects, please reply to me in the next 10-14 days.	0
We will be meeting with the lawyer sometime around the 15th or 16th.	0
Rob - Advance Health Care Directive.pdf	0
I live in Garden Oaks which is located off of the 610 North Loop between Shepherd and Yale near the Heights .	0
Our neighborhood was built in the early 1940's, and the city put in open drainage which is basically ditches in the front of all the properties .	0
Over the past 60 years the drains have filled in and leveled which is preventing the water from flowing correctly to the sewers, and this in turn causes minor flooding and BIG headaches.	0
My address is 236 W. 30th Street and the area of 30th Street I am asking the city to regrade is between Ashland and Yale approximately 2,500 feet .	0
I have been calling the City of Houston Public Works Department 713-247-1000 for about the last 4 years generally once a month to ask them to please come out and regrade our ditches.	0
The Public Works Department only has records over the last year because they changed their computer system and lost many files including mine.	0
For the last year or so I have been receiving a more positive response when I call which is: This is a Code 1 priority and will schedule as work load allows.	0
Although this response is encouraging, I still feel that my request is falling on deaf ears.	0
Kevin suggested that perhaps a call or letter to a city council person might help expedite this work request.	0
I would be extremely grateful if there is anything you could do to help me and my neighbors.	1
Carol Brown Executive Assistant Office of the Chairman Enron Broadband Services, Inc. 713.853.7974 713.853.9469 - fax carol brown@enron.net	0
Well the ride is this weekend, time is running out and we need you	0
Enron's goal is to raise 700,000, and Jeff's personal goal is to raise 50,000.	0
As of today, we are a little better than half way there.	0
Thanks for your consideration.	0
I look forward to hearing from you tomorrow... Sherri :-	0
